,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
5962,BRK,59,2017-03-01,Away,SAC,W,109,100,34,74,0.459,11,28,0.393,30,36,0.833,10,43,16,8,2,18,25,35,81,0.432,11,22,0.5,19,22,0.864,10,38,12,8,3,15,28
6062,BRK,60,2017-03-03,Away,UTA,L,97,112,36,89,0.404,7,30,0.233,18,24,0.75,9,42,12,6,3,12,24,38,74,0.514,12,26,0.462,24,34,0.706,5,45,25,7,5,13,25
61101,BRK,61,2017-03-04,Away,POR,L,116,130,45,86,0.523,14,30,0.467,12,17,0.706,8,31,24,7,6,13,22,49,86,0.57,16,25,0.64,16,22,0.727,6,37,29,9,6,12,13
6264,BRK,62,2017-03-06,Away,MEM,W,122,109,39,73,0.534,14,30,0.467,30,38,0.789,7,41,16,12,5,16,27,34,77,0.442,10,25,0.4,31,39,0.795,8,37,23,7,2,15,29
6362,BRK,63,2017-03-08,Away,ATL,L,105,110,37,80,0.463,11,33,0.333,20,25,0.8,5,40,28,7,11,22,25,41,95,0.432,4,20,0.2,24,32,0.75,11,47,19,12,7,15,22
6462,BRK,64,2017-03-10,Away,DAL,L,96,105,34,78,0.436,9,31,0.29,19,23,0.826,4,35,23,9,2,12,28,33,78,0.423,14,33,0.424,25,28,0.893,7,47,16,5,0,15,18
6562,BRK,65,2017-03-12,Home,NYK,W,120,112,40,87,0.46,19,38,0.5,21,29,0.724,13,55,23,7,3,12,23,39,94,0.415,8,23,0.348,26,32,0.813,11,43,22,5,8,9,20
6662,BRK,66,2017-03-14,Home,OKC,L,104,122,33,71,0.465,12,24,0.5,26,30,0.867,4,32,20,6,6,18,23,44,89,0.494,10,22,0.455,24,34,0.706,13,44,30,13,6,13,27
6762,BRK,67,2017-03-16,Away,NYK,W,121,110,41,86,0.477,10,32,0.313,29,35,0.829,13,51,19,5,2,13,23,41,88,0.466,3,18,0.167,25,26,0.962,5,34,20,6,4,7,26
6862,BRK,68,2017-03-17,Home,BOS,L,95,98,30,83,0.361,11,35,0.314,24,30,0.8,6,41,23,7,7,10,25,34,85,0.4,7,29,0.241,23,29,0.793,8,51,20,7,6,12,23
6962,BRK,69,2017-03-19,Home,DAL,L,104,111,31,72,0.431,13,31,0.419,29,38,0.763,9,41,16,2,1,15,22,41,76,0.539,10,25,0.4,19,25,0.76,2,33,20,8,3,10,24
7062,BRK,70,2017-03-21,Home,DET,W,98,96,38,88,0.432,10,29,0.345,12,19,0.632,11,46,22,1,6,10,13,40,92,0.435,5,23,0.217,11,16,0.688,10,51,17,8,8,6,17
71101,BRK,71,2017-03-23,Home,PHO,W,126,98,43,95,0.453,8,29,0.276,32,42,0.762,17,61,25,11,5,17,26,34,93,0.366,7,25,0.28,23,34,0.676,15,50,16,14,3,19,30
7264,BRK,72,2017-03-24,Away,WAS,L,108,129,43,82,0.524,3,15,0.2,19,26,0.731,6,38,24,5,4,14,22,49,97,0.505,10,26,0.385,21,22,0.955,11,46,29,9,5,10,19
7362,BRK,73,2017-03-26,Away,ATL,W,107,92,38,86,0.442,6,22,0.273,25,30,0.833,12,50,21,13,7,17,25,34,98,0.347,5,27,0.185,19,32,0.594,26,58,16,10,3,20,19
