,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
5091,BOS,50,2018-01-27,Away,GSW,L,105,109,37,85,0.435,14,28,0.5,17,24,0.708,11,45,17,6,2,14,23,38,84,0.452,10,27,0.37,23,26,0.885,10,43,19,9,9,11,17
51130,BOS,51,2018-01-29,Away,DEN,W,111,110,43,91,0.473,17,36,0.472,8,10,0.8,10,40,28,4,6,9,19,42,93,0.452,10,33,0.303,16,21,0.762,15,47,31,4,3,10,14
52107,BOS,52,2018-01-31,Home,NYK,W,103,73,40,83,0.482,11,26,0.423,12,20,0.6,5,49,27,8,3,9,22,28,87,0.322,3,17,0.176,14,21,0.667,9,44,16,4,4,14,17
5391,BOS,53,2018-02-02,Home,ATL,W,119,110,45,89,0.506,11,24,0.458,18,20,0.9,7,42,26,8,3,11,23,34,80,0.425,11,31,0.355,31,34,0.912,4,36,21,6,4,12,18
5491,BOS,54,2018-02-04,Home,POR,W,97,96,35,85,0.412,15,36,0.417,12,17,0.706,9,51,24,3,6,11,16,36,91,0.396,13,31,0.419,11,14,0.786,10,46,21,4,9,8,17
5591,BOS,55,2018-02-06,Away,TOR,L,91,111,33,83,0.398,10,23,0.435,15,20,0.75,9,38,21,3,3,17,19,40,80,0.5,17,36,0.472,14,17,0.824,5,40,29,10,4,15,18
5691,BOS,56,2018-02-08,Away,WAS,W,110,104,39,84,0.464,9,26,0.346,23,34,0.676,7,45,16,9,6,18,20,38,95,0.4,12,26,0.462,16,20,0.8,17,52,28,11,4,20,23
5791,BOS,57,2018-02-09,Home,IND,L,91,97,34,89,0.382,7,27,0.259,16,20,0.8,12,38,16,5,8,10,21,37,83,0.446,5,20,0.25,18,22,0.818,13,53,18,6,5,13,20
5891,BOS,58,2018-02-11,Home,CLE,L,99,121,36,89,0.404,10,38,0.263,17,22,0.773,13,43,22,3,4,14,14,45,84,0.536,16,30,0.533,15,20,0.75,5,41,22,7,6,11,20
5991,BOS,59,2018-02-14,Home,LAC,L,119,129,42,97,0.433,15,31,0.484,20,21,0.952,11,46,24,4,7,8,31,44,88,0.5,11,29,0.379,30,33,0.909,7,43,26,5,5,7,21
6091,BOS,60,2018-02-23,Away,DET,W,110,98,41,85,0.482,17,39,0.436,11,18,0.611,10,42,30,8,5,11,22,37,85,0.435,10,33,0.303,14,21,0.667,12,45,16,4,4,13,18
61130,BOS,61,2018-02-24,Away,NYK,W,121,112,42,93,0.452,13,33,0.394,24,28,0.857,11,45,21,11,5,11,15,45,96,0.469,6,27,0.222,16,20,0.8,13,49,20,10,4,14,22
62107,BOS,62,2018-02-26,Home,MEM,W,109,98,39,86,0.453,12,37,0.324,19,27,0.704,9,44,25,5,5,8,23,34,78,0.436,5,23,0.217,25,32,0.781,5,40,27,4,2,10,22
6391,BOS,63,2018-02-28,Home,CHO,W,134,106,54,87,0.621,12,20,0.6,14,15,0.933,4,47,31,3,4,10,20,42,91,0.462,9,27,0.333,13,22,0.591,9,33,24,6,6,7,17
6491,BOS,64,2018-03-03,Away,HOU,L,120,123,44,91,0.484,13,24,0.542,19,21,0.905,10,38,22,6,3,13,21,39,87,0.448,19,49,0.388,26,30,0.867,10,40,24,11,5,10,21
6591,BOS,65,2018-03-05,Away,CHI,W,105,89,41,84,0.488,12,36,0.333,11,12,0.917,12,53,25,7,4,18,13,32,81,0.395,12,33,0.364,13,20,0.65,7,36,18,14,1,13,16
6691,BOS,66,2018-03-08,Away,MIN,W,117,109,43,87,0.494,11,32,0.344,20,27,0.741,9,46,28,7,2,11,17,44,94,0.468,12,31,0.387,9,13,0.692,13,47,24,3,3,12,22
6791,BOS,67,2018-03-11,Home,IND,L,97,99,34,81,0.42,12,37,0.324,17,21,0.81,10,42,26,10,5,16,13,39,81,0.481,12,22,0.545,9,10,0.9,6,39,26,9,7,18,20
6891,BOS,68,2018-03-14,Home,WAS,L,124,125,48,99,0.485,12,26,0.462,16,23,0.696,10,44,30,9,5,17,22,46,97,0.474,12,32,0.375,21,28,0.75,13,52,29,10,6,19,26
6991,BOS,69,2018-03-16,Away,ORL,W,92,83,31,82,0.378,9,26,0.346,21,28,0.75,16,55,16,7,6,18,17,34,87,0.391,5,28,0.179,10,11,0.909,7,40,14,12,7,15,23
7091,BOS,70,2018-03-18,Away,NOP,L,89,108,35,87,0.402,9,26,0.346,10,20,0.5,9,44,17,8,3,12,21,41,82,0.5,6,18,0.333,20,25,0.8,5,44,33,9,5,10,13
71130,BOS,71,2018-03-20,Home,OKC,W,100,99,36,87,0.414,13,36,0.361,15,16,0.938,11,52,22,6,5,17,24,35,85,0.412,10,27,0.37,19,29,0.655,8,44,19,6,6,13,20
72107,BOS,72,2018-03-23,Away,POR,W,105,100,35,77,0.455,11,18,0.611,24,26,0.923,9,45,22,5,4,13,18,40,91,0.44,8,33,0.242,12,15,0.8,11,43,16,8,5,8,20
7391,BOS,73,2018-03-25,Away,SAC,W,104,93,40,72,0.556,12,22,0.545,12,17,0.706,3,35,23,9,2,15,11,38,82,0.463,7,26,0.269,10,10,1,7,34,18,7,1,14,16
7491,BOS,74,2018-03-26,Away,PHO,W,102,94,37,87,0.425,14,29,0.483,14,14,1,10,44,24,10,3,12,19,36,81,0.444,12,35,0.343,10,19,0.526,11,47,18,8,5,15,18
7591,BOS,75,2018-03-28,Away,UTA,W,97,94,35,79,0.443,12,21,0.571,15,20,0.75,11,42,20,11,2,16,18,34,82,0.415,9,33,0.273,17,21,0.81,12,45,25,7,6,16,18
7691,BOS,76,2018-03-31,Home,TOR,W,110,99,40,88,0.455,7,17,0.412,23,27,0.852,8,41,19,6,3,5,23,37,80,0.463,8,35,0.229,17,22,0.773,9,46,23,1,5,15,26
7791,BOS,77,2018-04-03,Away,MIL,L,102,106,38,81,0.469,7,23,0.304,19,24,0.792,10,37,19,10,6,17,17,43,79,0.544,5,20,0.25,15,21,0.714,9,41,27,6,5,15,23
7891,BOS,78,2018-04-04,Away,TOR,L,78,96,25,75,0.333,3,22,0.136,25,28,0.893,8,43,10,7,3,16,16,40,92,0.435,10,33,0.303,6,8,0.75,12,48,23,10,6,10,25
7991,BOS,79,2018-04-06,Home,CHI,W,111,104,45,81,0.556,14,34,0.412,7,17,0.412,6,46,35,9,7,18,15,40,86,0.465,14,30,0.467,10,17,0.588,9,43,25,15,0,17,22
8091,BOS,80,2018-04-08,Home,ATL,L,106,112,42,82,0.512,9,23,0.391,13,20,0.65,10,41,33,9,6,12,18,43,86,0.5,15,35,0.429,11,14,0.786,5,37,23,7,4,13,19
8193,BOS,81,2018-04-10,Away,WAS,L,101,113,33,87,0.379,13,33,0.394,22,27,0.815,13,44,22,14,1,16,18,41,83,0.494,15,30,0.5,16,20,0.8,10,51,32,8,3,20,24
